leaderID,forceful,enabling,strategic,operational,vitality,productivity,effect
325,0.266539908,0.367438754,0.225191716,0.092390765,-0.091348345,0.090024074,0.683130051
326,1.169254424,1.087449946,0.302946443,0.282366408,-0.630346827,-0.068900946,1.140175425
332,0.30551189,0.103825905,0.217344703,0.077646223,-0.138407469,-0.059162891,0.953096457
335,1.09655932,0.60235446,0.387002375,0.457905426,0.159270895,0.225061546,0.547722558
336,NA,NA,NA,NA,0.422924445,0.246900971,2.179449472
338,0.356153573,0.290146738,0.185371533,0.138489493,0.1690167,0.111591099,0.943879807
339,0.527927043,0.90603554,0.571991581,0.03210289,0.507357929,0.923103553,0.908295106
340,0.108098744,0.263254069,0.354626316,0.116686858,1.006650832,0.96446188,0.961304917
341,0.071647453,0.248706786,0.304992809,0.061393353,0.144291008,0.109542976,0.707106781
343,0.194843339,0.2136478,0.208884523,0.031024333,-0.634411867,-0.100248819,0.866025404
345,0.091217901,0.114042144,0.2679474,0.057081691,0.06063406,-0.535584131,0.76131348
349,0.469207631,0.62060684,0.651867511,0.344925079,0.385611127,-0.015756441,0.950438495
350,0.199244074,0.392864656,0.120163941,0.189708659,-0.091348345,0.090024074,1.294217911
364,0.150956862,0.041484777,0.00723636,0.189606467,-0.222064417,-0.704289999,1.376892637
371,0.123253579,0.046197924,0.019915031,0.018987077,-1.139385536,0.003211173,1.00519484
374,0.191225708,0.025189591,0.180451348,0.023803741,-0.398772514,-0.080729917,0.773923984
375,0.269951054,0.121621023,0.136898717,0.045766852,0.129311121,-0.005975593,0.802496106
376,NA,NA,NA,NA,0.404656054,0.131110002,0.395137107
380,1.117685531,0.583560924,0.750227072,0.319811305,-0.134342429,-0.027815018,2.068278941
385,0.625846996,0.907290133,0.639510458,0.231773884,-0.615366941,0.046617623,0.632455532
388,0.824367617,0.217239239,0.749023929,0.139491932,-0.016660667,0.879697102,1.369038592
389,0.124663905,0.156026486,0.050248616,0.047037199,-0.630346827,-0.068900946,0.478713554
391,0.255172229,0.516235444,0.642705364,0.476612283,0.640295407,0.150628905,0.957427108
392,0.595923783,0.3400289,0.248859511,0.073404891,-0.718068816,-0.745375927,1.440486029
394,0.498097244,0.2266698,0.474441388,0.187508852,-0.703088929,-0.629857358,0.518812747
395,NA,NA,NA,NA,-0.106328232,-0.025494496,0.866025404
397,NA,NA,NA,NA,0.404656054,0.131110002,1
401,0.594130171,0.337079188,0.206059135,0.103268291,-0.091348345,0.090024074,1.796988221
404,0.09498424,0.147576619,0.142506465,0.02700271,0.771011479,0.944942977,0.547722558
405,0.396047689,0.162797129,0.175795666,0.158745108,-0.031640553,0.764178533,0.874928569
409,0.108872824,0.087403527,0.111233569,0.015679212,0.404656054,0.131110002,0.702673466
412,0.526343581,0.531849417,0.157537855,0.036508427,0.668309604,0.152949427,0.438178046
413,0.236607925,0.10924418,0.145525144,0.186950746,0.144291008,0.109542976,1.707825128
415,0.20957496,0.101164244,0.156766655,0.007786299,-1.257067298,-0.904300947,0.577350269
417,0,0,0,0,-0.249011515,0.860450599,0.55
425,0.08535658,0.111259739,0.032646336,0.061480231,0.159270895,0.225061546,0.721687836
427,0.173188449,0.107941611,0.201430698,0.060565698,0.43267025,0.133430524,0.763762616
429,0.479559558,0.280224839,0.261976937,0.145172149,0.159270895,0.225061546,0.463980364
431,0.221758331,0.406809505,0.254694094,0.094265008,NA,NA,1.32872119
432,0.043116815,0.447877177,0.418721902,0.178499944,0.01135353,0.882017624,0
435,0.069346224,0.022319634,0.022598884,0.03081366,-0.032417089,0.733103059,2.415677959
436,0.37550071,0.052763177,0.320681896,0.170477407,0.144291008,0.109542976,0.763762616
440,0.610725776,0.163262948,0.492934862,0.235773331,0.141002504,0.109270577,1.151086443
447,0.35200909,0.118511473,0.381858532,0.204084132,0.144291008,0.109542976,0.73739406
454,0.89467051,0.429433969,0.231766887,0.251952691,-0.091348345,0.090024074,0.876274582
455,0.179956473,0.063232194,0.114336843,0.040369571,0.47662162,0.66099094,0.5
459,0.166421221,0.051644118,0.235573299,0.057444306,-0.454415266,-0.723536502,1.354006401
460,0.342391588,0.08669762,0.123505272,0.121114251,0.041589133,-0.682450574,1.163137519
461,0.53273577,0.300906405,0.157369392,0.205386835,-0.718068816,-0.745375927,0.937614462
462,0.279345474,0.147128753,0.309328717,0.102058022,NA,NA,1
463,0.070235315,0.061955288,0.03701812,0.010238416,0.492378042,0.807584983,0.645497224
470,0.130346942,0.211236232,0.305127322,0.094337131,0.991670946,0.848943311,1.230805002
475,0.762105403,0.994110276,0.174372752,0.004518018,-0.649391754,-0.215767389,0.763762616
477,0.561271982,0.44272284,0.163845574,0.128836266,0.237693762,0.641199638,2.334523506
482,1.009434404,0.621492333,0.173996962,0.045203533,NA,NA,0.866025404
484,0.208685144,0.371407599,0.224153585,0.188981025,-0.222064417,-0.704289999,1.400148802
485,0.385004656,0.473249185,0.24023227,0.166935568,-0.448404649,-0.463472012,1.556170513
488,0.976554308,0.319970703,0.300511822,0.255822902,0.68328949,0.268467996,1.673320053
492,0.80033431,0.289075164,0.549734147,0.001459618,0.144291008,0.109542976,0.447213595
494,0.208228979,0.067101295,0.298476037,0.101319575,-0.116074037,0.087975951,0.711805217
498,0.586401734,0.704380685,0.432735,0.127047072,-0.222064417,-0.704289999,1.870828693
499,0.494095513,0.155557956,0.161662753,0.260621461,-0.733048703,-0.860894497,0.647108955
503,1.539710545,1.072867357,1.566197287,0.614425905,0.041589133,-0.682450574,1.436140662
506,0.507319729,0.644726073,0.323056967,0.081079824,-0.119362542,0.087703552,0.356370594
507,0.46477601,0.274190409,0.453092269,0.154631016,0.404656054,0.131110002,0.935414347
513,0.706880185,0.337098122,0.826262761,0.062139708,-0.104382655,0.203222121,0.288675135
515,0.849932955,0.140072145,0.711570837,0.228514951,0.292208373,-0.547413102,1.806704685
519,0.366840658,0.161607324,0.207637395,0.145783884,-1.114659844,0.005259296,0.752772653
525,NA,NA,NA,NA,0.144291008,0.109542976,0.5
528,0.272380141,0.173665423,0.198833859,0.084947722,-0.003626357,0.766499055,1.211060142
533,0.487756098,0.08764644,0.375089383,0.359345322,-1.081135737,-1.558936503,0.866025404
534,0.23047483,0.264164562,0.34271028,0.137364747,0.075613946,-0.420065562,1.048312135
540,0.210493819,0.115503693,0.098876659,0.104391833,0.144291008,0.109542976,0.978774744
541,0.412907698,0.352724572,0.099280041,0.133706229,0.68328949,0.268467996,0.577350269
547,0.459047015,0.266312748,0.231312539,0.311069657,-0.934663243,-0.618028387,2.020725942
548,0.537749268,0.373366692,0.057161674,0.128546479,NA,NA,0
551,1.417864645,0.175806705,1.357915842,0.114050407,0.510646434,0.923375952,0.478713554
552,0.08340747,0.004021188,0.056946263,0.033730557,NA,NA,0.929157324
555,0.391478792,0.067930413,0.475833702,0.093234489,0.041589133,-0.682450574,0.364802621
556,0.29652101,0.233313006,0.151756652,0.053670208,0.246992883,0.901536527,0.955032938
565,0.407156224,0.17536057,0.110329613,0.09744989,0.21296807,0.639151515,0.612372436
567,0.224316076,0.399256379,0.284634635,0.218539519,0.903948957,0.17246833,0.547722558
568,0.73131857,0.493047186,0.282559339,0.053037169,0.771011479,0.944942977,0.5204165
571,0.718742293,0.258127697,0.174791666,0.097165528,-0.134342429,-0.027815018,0.478713554
574,NA,NA,NA,NA,0.144291008,0.109542976,0
575,0.538403143,0.843779148,0.770859487,0.086182133,-0.091348345,0.090024074,1.471960144
577,0.389027632,0.145778179,0.20372953,0.10672698,0.751966552,0.798076535,1.233558538
578,0.153139851,0.168492353,0.148301815,0.060507793,0.041589133,-0.682450574,1.154700538
579,0.255820533,0.233026054,0.062827276,0.076345731,0.144291008,0.109542976,0.758287544
585,0.918430055,0.415468836,1.258533743,0.185694663,0.552573419,-0.525846076,0.842614977
587,0.529823055,0.276703114,0.344593311,0.134199159,0.246992883,0.901536527,0.534522484
589,0.158882975,0.12192193,0.107535145,0.132143358,0.728017396,0.827103886,0.678232998
593,0.227002661,0.176857105,0.315082751,0.147904949,-0.222064417,-0.704289999,0.81240384
594,0.405389862,0.287186835,0.501079147,0.182291108,-0.718068816,-0.745375927,0.853912564
595,0.05916611,0.37753373,0.434517295,0.196408523,0.172305205,0.111863499,2.56580072
596,0.342242118,0.255838658,0.349172178,0.095900855,-1.570682835,-1.713765277,0.894427191
